recStatus,primaryKey,mTrnFmly,mTrnGrp,mTrnType,mTrnTypo,internal,portfolio,counterparty,strategy,mInstrument,mPlInscur,mMktIndex,mCommentBs,mBtrader,mBcomment0,mBcomment1,mBcomment2,mBsection,mBentity,mStrader,mScomment0,mScomment1,mScomment2,mSsection,mSentity,mTrnDate,mTrnExp,mBrwNom1,mBrwNomu1,mBrwNom2,mBrwNomu2,mBrwRte1,mBrwRte2,mBrwMrg1,mBrwMrg2,mAlmStrate,mAnSegment,mBlockpymnt,mBmaFact,mCustdyAcc,mCustdyPos,mDerecog,mDfUsiPre,mDfUsiVal,mDfVenue,mDmtradedat,mEmUtiPre,mEmUtiVal,mExptMat,mForbear,mFundedNb,mGainshare,mHedgetype,mIfrsMacro,mIfrsOffse,mIfrs9Class,mIfrs9Hedge,mIfrs9Model,mIntxferPr,mModcshflow,mOptionTyp,mRestrucDt,mRestrucFg,mSgExclude,mSpbaMidas,mSppi,mTdr,mRplAmo,mRplUsrdat,mRplDate1,mRplDate2,mRplAmttyp,mRplCur,mAccPror
"MATCHED","609636","IRD","IRS","","IRS TRD","N","DDCO | TSDT","CITI-LCH | LCH","","USDLIBOR3M6M | USD LIBOR S 3M","USD","USD3MLIBOR | USD LIBOR 3M","B","OSTRG | MUREXFO","","","","TRD","DCLNY | DEXIA_NY","","","","","","DCLNY | DEXIA_NY","20170918","20370921","9700000","USD","9700000","USD","2.426","0","0","0","","","","0","000076742","HELD","","1010000051","SW10000000LCH0004059872532846077","","0","","","","","0","0","Perfect","","Y","TR","NOH","","0","","","","","","","","","N","N","","","USR","","0"
"MATCHED","609637","IRD","IRS","","IRS TRD","N","DIRS | TSDT","BOADERIVATES","","USDBMA3M%LIB3M | USD SIFMA AVG LIBOR 3M","USD","USD3MBMA__USD3MLIBOR | 8745__USD LIBOR 3M","B","OSTRG | MUREXFO","","","","TRD","DCLNY | DEXIA_NY","","","","","","DCLNY | DEXIA_NY","20170918","20370921","10000000","USD","10000000","USD","0","0","0","0","","","","0","000076742","HELD","","1030282338","MARKITWIRE0000000000000085310473","","0","","","","","0","0","Perfect","","Y","TR","NOH","","0","","","","","","","","","N","N","","","USR","","0"
"MATCHED","609640","IRD","BOND"," | CPCD","CPIG","N","NCLM | STFU","SALOMON","","","USD","GCPC 0 041918  BOND | 2488           BOND","S","","","","","","DCLNY | DEXIA_NY","VENTM | MUREXFO","Govt Gauranteed CP","","","AFS","DCLNY | DEXIA_NY","20170918","20180419","15","CTR","0 | 100000000","USD","99.16966651","0","0","0","CPUSD","StateGt","","0","000076742","HELD","","","","","0","","","","","0","0","Perfect","NoHedge","Y","","","","0","","","","","","","","","N","N","","","USR","","0"
"MATCHED","609671","IRD","BOND"," | CPCD","CPIG","N","NCLM | STFU","OHIOSTAR","","","USD","GCPD 0 060818  BOND | 2367           BOND","S","","","","","","DCLNY | DEXIA_NY","VENTM | MUREXFO","Govt Gauranteed CP","","","AFS","DCLNY | DEXIA_NY","20170920","20180608","10","CTR","0 | 100000000","USD","98.91249989","0","0","0","CPUSD","StateGt","","0","000076742","HELD","","","","","0","","","","","0","0","Perfect","NoHedge","Y","","","","0","","","","","","","","","N","N","","","USR","","0"
"MATCHED","609676","IRD","BOND"," | CPCD","CPIG","N","NCLM | STFU","PFMSD27J17","","","USD","GCPD 0 061318  BOND | 2368           BOND","S","","","","","","DCLNY | DEXIA_NY","VENTM | MUREXFO","Govt Gauranteed CP","","","AFS","DCLNY | DEXIA_NY","20170920","20180613","1.955","CTR","0 | 100000000","USD","98.89583364","0","0","0","CPUSD","StateGt","","0","000076742","HELD","","","","","0","","","","","0","0","Perfect","NoHedge","Y","","","","0","","","","","","","","","N","N","","","USR","","0"
"MISMATCH","609981","IRD","LN_BR","","","Y","MTOD | FTOD","NBTA","DCL-2012-004","USD INT FUND 3M | USD LIBOR 3M","USD","USD3MFUNDING | USD LIBOR 3M","B","YANGC | MUREXFO","","","TOB","AFS","DCLNY | DEXIA_NY","YANGC | ","","","TOB","AFS","DCLNY | DEXIA_NY","20161116","20280801","16405000","USD","16405000","USD","0","0","-0.03 | 0","0","","","","0","000076742","HELD","","","","","0","","","","","0","0","Perfect","","Y","","","","0","","","","","","","","","N","N","","","USR","","0"
"MATCHED","609988","IRD","IRS","","IRS TRD","N","DDCO | TSDT","CITI-LCH | LCH","","USDLIB3MFF3M | USD FEDFUNDS AVG LIBOR 3M","USD","USD3MLIBOR__USDOIS 3M | 2831__USD LIBOR 3M","B","GOMEN | MUREXFO","","","","TRD","DCLNY | DEXIA_NY","","","","","","DCLNY | DEXIA_NY","20171005","20231010","60000000","USD","60000000","USD","0","0","0.268","0","","","","0","000076742","HELD","","1010000051","SW10000000LCH0004097499333283863","","0","","","","","0","0","Perfect","","Y","TR","NOH","","0","","","","","","","","","N","N","20171010","20231010","USR","","0"
"MATCHED","609989","IRD","BOND"," | CPCD","CPIG","N","NCLM | STFU","PFMASD16GO","","","USD","GCPD 0 030618 2BOND | 2386           BOND","S","","","","","","DCLNY | DEXIA_NY","VENTM | MUREXFO","Govt Gauranteed CP","","","AFS","DCLNY | DEXIA_NY","20171005","20180306","6","CTR","0 | 100000000","USD","99.45052772","0","0","0","CPUSD","StateGt","","0","000076742","HELD","","","","","0","","","","","0","0","Perfect","NoHedge","Y","","","","0","","","","","","","","","N","N","","","USR","","0"
"MISSING","610003","IRD","REPO","REPO","SLB OTH","N","NREP","DCL-HO","","","USD","SACGEN FRN 0730","S","","","","","","DCLNY","GAFFM","","","","AFS","DCLNY","20171006","20180410","11.935","USD","11935000","USD","99.4450495","0","0","0","SECL","","","0","000300602","COLLATERAL","","","","","0","","","","","0","0","Perfect","NoHedge","Y","","","","0","","","","","","","","","N","N","","","USR","","0"
"MATCHED","610005","IRD","BOND"," | CPCD","CPIG","N","NCLM | STFU","MEEDZEEL","","","USD","GCPD 0 031518  BOND | 2387           BOND","S","","","","","","DCLNY | DEXIA_NY","VENTM | MUREXFO","Govt Gauranteed CP","","","AFS","DCLNY | DEXIA_NY","20171006","20180315","0.42","CTR","0 | 100000000","USD","99.42222212","0","0","0","CPUSD","StateGt","","0","000076742","HELD","","","","","0","","","","","0","0","Perfect","NoHedge","Y","","","","0","","","","","","","","","N","N","","","USR","","0"
